GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002376	immune system process	2.784308189335508e-18	2.784308189335508e-18	+1	ENSMLUG00000012387,ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000012920,ENSMLUG00000000290,ENSMLUG00000009941,ENSMLUG00000012745,ENSMLUG00000017259,ENSMLUG00000014217,ENSMLUG00000011360,ENSMLUG00000014393,ENSMLUG00000011096,ENSMLUG00000001974,ENSMLUG00000004884,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000008558,ENSMLUG00000003153,ENSMLUG00000006366,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000011161,ENSMLUG00000016008,ENSMLUG00000008325,ENSMLUG00000009793,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000016505,ENSMLUG00000003444,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000005115,ENSMLUG00000016835,ENSMLUG00000007751,ENSMLUG00000016537,ENSMLUG00000000147,ENSMLUG00000022688,ENSMLUG00000003135,ENSMLUG00000030769,ENSMLUG00000001861,ENSMLUG00000011482,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000000600,ENSMLUG00000011999,ENSMLUG00000009243,ENSMLUG00000009413,ENSMLUG00000000899,ENSMLUG00000009147,ENSMLUG00000006778,ENSMLUG00000012598,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015330,ENSMLUG00000007831,ENSMLUG00000015999,ENSMLUG00000016841,ENSMLUG00000006716,ENSMLUG00000002937,ENSMLUG00000022258,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000029213,ENSMLUG00000003347,ENSMLUG00000016013,ENSMLUG00000028344,ENSMLUG00000005407,ENSMLUG00000029749,ENSMLUG00000002840,ENSMLUG00000027885,ENSMLUG00000002912,ENSMLUG00000009455,ENSMLUG00000011419,ENSMLUG00000015855,ENSMLUG00000022206,ENSMLUG00000007176,ENSMLUG00000010517,ENSMLUG00000000639,ENSMLUG00000002533,ENSMLUG00000013014,ENSMLUG00000006311,ENSMLUG00000016412,ENSMLUG00000001420,ENSMLUG00000017391,ENSMLUG00000015889,ENSMLUG00000007100,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017618,ENSMLUG00000017172,ENSMLUG00000000285,ENSMLUG00000016819,ENSMLUG00000008026,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000011369,ENSMLUG00000026303,ENSMLUG00000010411,ENSMLUG00000010167,ENSMLUG00000011728,ENSMLUG00000008593,ENSMLUG00000011842,ENSMLUG00000028659,ENSMLUG00000014215,ENSMLUG00000001028,ENSMLUG00000001859,ENSMLUG00000005802,ENSMLUG00000028380,ENSMLUG00000003729,ENSMLUG00000012289,ENSMLUG00000003491,ENSMLUG00000007782,ENSMLUG00000008210,ENSMLUG00000006287,ENSMLUG00000017195,ENSMLUG00000011543,ENSMLUG00000022840,ENSMLUG00000010038,ENSMLUG00000013160,ENSMLUG00000012714,ENSMLUG00000002942,ENSMLUG00000008622,ENSMLUG00000002060,ENSMLUG00000002266,ENSMLUG00000002214,ENSMLUG00000016205,ENSMLUG00000026018,ENSMLUG00000014246,ENSMLUG00000009772,ENSMLUG00000025459,ENSMLUG00000009943,ENSMLUG00000008863,ENSMLUG00000013225,ENSMLUG00000013890,ENSMLUG00000017089,ENSMLUG00000000098,ENSMLUG00000024543,ENSMLUG00000026691,ENSMLUG00000011799,ENSMLUG00000004572,ENSMLUG00000008749,ENSMLUG00000011739,ENSMLUG00000008549,ENSMLUG00000005967,ENSMLUG00000016545,ENSMLUG00000013365,ENSMLUG00000004545,ENSMLUG00000004202,ENSMLUG00000013098,ENSMLUG00000024677,ENSMLUG00000009026,ENSMLUG00000000604,ENSMLUG00000014034,ENSMLUG00000000889,ENSMLUG00000004535,ENSMLUG00000015181
GO:0006955	immune response	1.9279947467482268e-14	1.9279947467482268e-14	+1	ENSMLUG00000012387,ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000012920,ENSMLUG00000009941,ENSMLUG00000012745,ENSMLUG00000017259,ENSMLUG00000014217,ENSMLUG00000014393,ENSMLUG00000001974,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000011161,ENSMLUG00000016008,ENSMLUG00000008325,ENSMLUG00000009793,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000016537,ENSMLUG00000000147,ENSMLUG00000030769,ENSMLUG00000001861,ENSMLUG00000011482,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000000600,ENSMLUG00000011999,ENSMLUG00000009413,ENSMLUG00000006778,ENSMLUG00000012598,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000002937,ENSMLUG00000022258,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000029213,ENSMLUG00000003347,ENSMLUG00000016013,ENSMLUG00000028344,ENSMLUG00000005407,ENSMLUG00000029749,ENSMLUG00000002912,ENSMLUG00000009455,ENSMLUG00000011419,ENSMLUG00000015855,ENSMLUG00000022206,ENSMLUG00000000639,ENSMLUG00000002533,ENSMLUG00000013014,ENSMLUG00000016412,ENSMLUG00000017391,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017618,ENSMLUG00000017172,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000011369,ENSMLUG00000026303,ENSMLUG00000010167,ENSMLUG00000011728,ENSMLUG00000011842,ENSMLUG00000028659,ENSMLUG00000001028,ENSMLUG00000028380,ENSMLUG00000012289,ENSMLUG00000003491,ENSMLUG00000007782,ENSMLUG00000006287,ENSMLUG00000011543,ENSMLUG00000010038,ENSMLUG00000002266,ENSMLUG00000002214,ENSMLUG00000025459,ENSMLUG00000008863,ENSMLUG00000013225,ENSMLUG00000017089,ENSMLUG00000000098,ENSMLUG00000024543,ENSMLUG00000026691,ENSMLUG00000004572,ENSMLUG00000008749,ENSMLUG00000011739,ENSMLUG00000005967,ENSMLUG00000016545,ENSMLUG00000013365,ENSMLUG00000004202,ENSMLUG00000013098,ENSMLUG00000024677,ENSMLUG00000009026,ENSMLUG00000000604,ENSMLUG00000004535
GO:0002682	regulation of immune system process	1.801897106296984e-13	1.801897106296984e-13	+1	ENSMLUG00000012387,ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000012920,ENSMLUG00000009941,ENSMLUG00000012745,ENSMLUG00000014217,ENSMLUG00000011360,ENSMLUG00000001974,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000006366,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000016008,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000005115,ENSMLUG00000007751,ENSMLUG00000016537,ENSMLUG00000000147,ENSMLUG00000030769,ENSMLUG00000011482,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015330,ENSMLUG00000015999,ENSMLUG00000006716,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000003347,ENSMLUG00000016013,ENSMLUG00000005407,ENSMLUG00000027885,ENSMLUG00000009455,ENSMLUG00000011419,ENSMLUG00000015855,ENSMLUG00000007176,ENSMLUG00000010517,ENSMLUG00000002533,ENSMLUG00000013014,ENSMLUG00000006311,ENSMLUG00000016412,ENSMLUG00000017391,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000016819,ENSMLUG00000008026,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000011369,ENSMLUG00000026303,ENSMLUG00000010411,ENSMLUG00000010167,ENSMLUG00000011728,ENSMLUG00000011842,ENSMLUG00000001028,ENSMLUG00000001859,ENSMLUG00000005802,ENSMLUG00000003729,ENSMLUG00000012289,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000010038,ENSMLUG00000002942,ENSMLUG00000002060,ENSMLUG00000002214,ENSMLUG00000026018,ENSMLUG00000009772,ENSMLUG00000008863,ENSMLUG00000013225,ENSMLUG00000017089,ENSMLUG00000004572,ENSMLUG00000008749,ENSMLUG00000011739,ENSMLUG00000008549,ENSMLUG00000005967,ENSMLUG00000016545
GO:0002684	positive regulation of immune system process	3.5201865334120386e-13	3.5201865334120386e-13	+1	ENSMLUG00000012387,ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000012920,ENSMLUG00000009941,ENSMLUG00000012745,ENSMLUG00000011360,ENSMLUG00000001974,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000006366,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000007751,ENSMLUG00000000147,ENSMLUG00000030769,ENSMLUG00000011482,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015330,ENSMLUG00000015999,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000003347,ENSMLUG00000005407,ENSMLUG00000027885,ENSMLUG00000011419,ENSMLUG00000015855,ENSMLUG00000007176,ENSMLUG00000002533,ENSMLUG00000013014,ENSMLUG00000016412,ENSMLUG00000017391,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000016819,ENSMLUG00000008026,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000026303,ENSMLUG00000011728,ENSMLUG00000011842,ENSMLUG00000001028,ENSMLUG00000001859,ENSMLUG00000005802,ENSMLUG00000003729,ENSMLUG00000012289
GO:0045321	leukocyte activation	3.929626144738135e-13	3.929626144738135e-13	+1	ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000009941,ENSMLUG00000014393,ENSMLUG00000001974,ENSMLUG00000004884,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000005115,ENSMLUG00000016835,ENSMLUG00000016537,ENSMLUG00000022688,ENSMLUG00000003135,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000011999,ENSMLUG00000009243,ENSMLUG00000000899,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000016841,ENSMLUG00000006716,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000027885,ENSMLUG00000009455,ENSMLUG00000015855,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000016412,ENSMLUG00000017391,ENSMLUG00000016819,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000010411,ENSMLUG00000010167,ENSMLUG00000011728,ENSMLUG00000001028,ENSMLUG00000001859
GO:0001775	cell activation	1.1756457903396124e-12	1.1756457903396124e-12	+1	ENSMLUG00000003450,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000009941,ENSMLUG00000014393,ENSMLUG00000001974,ENSMLUG00000004884,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000016505,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000024927,ENSMLUG00000005115,ENSMLUG00000016835,ENSMLUG00000016537,ENSMLUG00000022688,ENSMLUG00000003135,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000011999,ENSMLUG00000009243,ENSMLUG00000000899,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000016841,ENSMLUG00000006716,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000027885,ENSMLUG00000009455,ENSMLUG00000015855,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000016412,ENSMLUG00000017391,ENSMLUG00000016819,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000010411,ENSMLUG00000010167,ENSMLUG00000011728
GO:0002366	leukocyte activation involved in immune response	3.0429936876427096e-10	3.0429936876427096e-10	+1	ENSMLUG00000027823,ENSMLUG00000014393,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000016598,ENSMLUG00000011999,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000015999,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000009455,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000011728,ENSMLUG00000012289,ENSMLUG00000007782
GO:0050776	regulation of immune response	3.178052664654374e-10	3.178052664654374e-10	+1	ENSMLUG00000012387,ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000012920,ENSMLUG00000009941,ENSMLUG00000012745,ENSMLUG00000014217,ENSMLUG00000001974,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000016008,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000016537,ENSMLUG00000000147,ENSMLUG00000030769,ENSMLUG00000011482,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000005407,ENSMLUG00000002533,ENSMLUG00000013014,ENSMLUG00000017391,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000012813,ENSMLUG00000026303,ENSMLUG00000011728,ENSMLUG00000011842,ENSMLUG00000001028
GO:0002263	cell activation involved in immune response	5.954615120873589e-10	5.954615120873589e-10	+1	ENSMLUG00000027823,ENSMLUG00000014393,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000016598,ENSMLUG00000011999,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000015999,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000009455,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000011728,ENSMLUG00000012289,ENSMLUG00000007782
GO:0046649	lymphocyte activation	7.364288346800366e-10	7.364288346800366e-10	+1	ENSMLUG00000003450,ENSMLUG00000027823,ENSMLUG00000009941,ENSMLUG00000014393,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000030037,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000005115,ENSMLUG00000016835,ENSMLUG00000016537,ENSMLUG00000022688,ENSMLUG00000003135,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000011999,ENSMLUG00000009243,ENSMLUG00000000899,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000016841,ENSMLUG00000006716,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000027885,ENSMLUG00000015855,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000017391,ENSMLUG00000016819,ENSMLUG00000016718,ENSMLUG00000013543,ENSMLUG00000010411,ENSMLUG00000001028,ENSMLUG00000001859,ENSMLUG00000012289,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000002060,ENSMLUG00000026018,ENSMLUG00000017089,ENSMLUG00000011739,ENSMLUG00000008549,ENSMLUG00000016545,ENSMLUG00000004545,ENSMLUG00000013098,ENSMLUG00000014034,ENSMLUG00000015181
