GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002699	positive regulation of immune effector process	4.370853854294801e-9	4.370853854294801e-9	+1	ENSMLUG00000012387,ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000007430,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000015999,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000015855,ENSMLUG00000016718,ENSMLUG00000011728,ENSMLUG00000011842
GO:0002703	regulation of leukocyte mediated immunity	4.140125905485178e-8	4.140125905485178e-8	+1	ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000030037,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003969,ENSMLUG00000012668,ENSMLUG00000016537,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000002533,ENSMLUG00000013014
GO:0032635	interleukin-6 production	0.000001026845639494505	0.000001026845639494505	+1	ENSMLUG00000016603,ENSMLUG00000012745,ENSMLUG00000003969,ENSMLUG00000007430,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000004581,ENSMLUG00000015855,ENSMLUG00000005737,ENSMLUG00000002533,ENSMLUG00000017391,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000012813,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000011543,ENSMLUG00000002060,ENSMLUG00000008863,ENSMLUG00000011739
GO:0002286	T cell activation involved in immune response	0.0000022072270772054352	0.0000022072270772054352	+1	ENSMLUG00000027823,ENSMLUG00000014393,ENSMLUG00000014375,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000016598,ENSMLUG00000011999,ENSMLUG00000006778,ENSMLUG00000015999,ENSMLUG00000004581,ENSMLUG00000000639,ENSMLUG00000012289,ENSMLUG00000007782
GO:0032675	regulation of interleukin-6 production	0.000003277450428356676	0.000003277450428356676	+1	ENSMLUG00000012745,ENSMLUG00000003969,ENSMLUG00000007430,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000004581,ENSMLUG00000015855,ENSMLUG00000005737,ENSMLUG00000002533,ENSMLUG00000017391,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000012813,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000011543,ENSMLUG00000002060,ENSMLUG00000008863,ENSMLUG00000011739
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	0.000003509675228363658	0.000003509675228363658	+1	ENSMLUG00000012745,ENSMLUG00000030769,ENSMLUG00000007417,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000012813,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000016545
GO:0043299	leukocyte degranulation	0.000007112754327273122	0.000007112754327273122	+1	ENSMLUG00000003153,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000012668,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000009455,ENSMLUG00000016718,ENSMLUG00000011728
GO:0002274	myeloid leukocyte activation	0.000008784149963991597	0.000008784149963991597	+1	ENSMLUG00000016603,ENSMLUG00000027823,ENSMLUG00000004884,ENSMLUG00000003153,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000012668,ENSMLUG00000000899,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000009455,ENSMLUG00000016412,ENSMLUG00000016718,ENSMLUG00000010167,ENSMLUG00000011728
GO:0006909	phagocytosis	0.000012614339164334746	0.000012614339164334746	+1	ENSMLUG00000009941,ENSMLUG00000015441,ENSMLUG00000014580,ENSMLUG00000003444,ENSMLUG00000003969,ENSMLUG00000000153,ENSMLUG00000009147,ENSMLUG00000012968,ENSMLUG00000010659,ENSMLUG00000004581,ENSMLUG00000003661,ENSMLUG00000016412,ENSMLUG00000007189,ENSMLUG00000017618,ENSMLUG00000012304,ENSMLUG00000007782,ENSMLUG00000013160,ENSMLUG00000008863
GO:0002285	lymphocyte activation involved in immune response	0.000012633275874898434	0.000012633275874898434	+1	ENSMLUG00000027823,ENSMLUG00000014393,ENSMLUG00000014375,ENSMLUG00000011581,ENSMLUG00000008325,ENSMLUG00000003444,ENSMLUG00000016598,ENSMLUG00000011999,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000015999,ENSMLUG00000004581,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000013543,ENSMLUG00000012289,ENSMLUG00000007782
GO:0002367	cytokine production involved in immune response	0.00004196480584163332	0.00004196480584163332	+1	ENSMLUG00000012387,ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000030037,ENSMLUG00000003969,ENSMLUG00000016598,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000017172,ENSMLUG00000012813,ENSMLUG00000011728,ENSMLUG00000011842
GO:0030593	neutrophil chemotaxis	0.000055900348634184615	0.000055900348634184615	+1	ENSMLUG00000004884,ENSMLUG00000003153,ENSMLUG00000012668,ENSMLUG00000016835,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000012968,ENSMLUG00000004581,ENSMLUG00000002912
GO:0002705	positive regulation of leukocyte mediated immunity	0.00006898655121944972	0.00006898655121944972	+1	ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000003153,ENSMLUG00000014580,ENSMLUG00000003969,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000004581
GO:0002720	positive regulation of cytokine production involved in immune response	0.0000832118110876652	0.0000832118110876652	+1	ENSMLUG00000012387,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000016598,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000011728,ENSMLUG00000011842
GO:0032715	negative regulation of interleukin-6 production	0.00008563896333554104	0.00008563896333554104	+1	ENSMLUG00000003969,ENSMLUG00000007430,ENSMLUG00000007417,ENSMLUG00000012968,ENSMLUG00000002533,ENSMLUG00000017391,ENSMLUG00000017172,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000011543
GO:0002758	innate immune response-activating signal transduction	0.00010354550890911881	0.00010354550890911881	+1	ENSMLUG00000012387,ENSMLUG00000012920,ENSMLUG00000012745,ENSMLUG00000007430,ENSMLUG00000030769,ENSMLUG00000007417,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000002533,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000012813,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000016545,ENSMLUG00000004535,ENSMLUG00000017610
GO:0002221	pattern recognition receptor signaling pathway	0.00010354550890911881	0.00010354550890911881	+1	ENSMLUG00000012387,ENSMLUG00000012920,ENSMLUG00000012745,ENSMLUG00000007430,ENSMLUG00000030769,ENSMLUG00000007417,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000002533,ENSMLUG00000007189,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000012813,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000016545,ENSMLUG00000004535,ENSMLUG00000017610
GO:0032680	regulation of tumor necrosis factor production	0.00011191818018871838	0.00011191818018871838	+1	ENSMLUG00000001974,ENSMLUG00000007430,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000002533,ENSMLUG00000016412,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000016718,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000011739
GO:0032640	tumor necrosis factor production	0.00014067235312070902	0.00014067235312070902	+1	ENSMLUG00000001974,ENSMLUG00000007430,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000002533,ENSMLUG00000016412,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000016718,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000011739
GO:0042088	T-helper 1 type immune response	0.00015947216449533895	0.00015947216449533895	+1	ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000016598,ENSMLUG00000006778,ENSMLUG00000029213,ENSMLUG00000000639,ENSMLUG00000013014,ENSMLUG00000016718
GO:0031663	lipopolysaccharide-mediated signaling pathway	0.0001928504460272299	0.0001928504460272299	+1	ENSMLUG00000009941,ENSMLUG00000006910,ENSMLUG00000003969,ENSMLUG00000000164,ENSMLUG00000007417,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000011369,ENSMLUG00000011543,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000005967,ENSMLUG00000013098
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	0.00021929270891667197	0.00021929270891667197	+1	ENSMLUG00000001974,ENSMLUG00000007430,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000002533,ENSMLUG00000016412,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000016718,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000011739
GO:0002700	regulation of production of molecular mediator of immune response	0.0002378221026555939	0.0002378221026555939	+1	ENSMLUG00000012387,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000030037,ENSMLUG00000003969,ENSMLUG00000007430,ENSMLUG00000016598,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000015855,ENSMLUG00000013014,ENSMLUG00000017172,ENSMLUG00000011728,ENSMLUG00000011842
GO:0043300	regulation of leukocyte degranulation	0.00028832670577228837	0.00028832670577228837	+1	ENSMLUG00000003153,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000012668,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016718
GO:0002275	myeloid cell activation involved in immune response	0.00029291377791325346	0.00029291377791325346	+1	ENSMLUG00000003153,ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000012668,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000016013,ENSMLUG00000009455,ENSMLUG00000016718,ENSMLUG00000011728
GO:0002718	regulation of cytokine production involved in immune response	0.0003131752675245681	0.0003131752675245681	+1	ENSMLUG00000012387,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000030037,ENSMLUG00000003969,ENSMLUG00000016598,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000017172,ENSMLUG00000011728,ENSMLUG00000011842
GO:0071219	cellular response to molecule of bacterial origin	0.00032306884533650086	0.00032306884533650086	+1	ENSMLUG00000009941,ENSMLUG00000006910,ENSMLUG00000014375,ENSMLUG00000003969,ENSMLUG00000000164,ENSMLUG00000007417,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000017621,ENSMLUG00000015855,ENSMLUG00000012813,ENSMLUG00000011369,ENSMLUG00000026303,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000002942,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000005967,ENSMLUG00000013098
GO:0071706	tumor necrosis factor superfamily cytokine production	0.00033613158231692817	0.00033613158231692817	+1	ENSMLUG00000001974,ENSMLUG00000007430,ENSMLUG00000006778,ENSMLUG00000007417,ENSMLUG00000004581,ENSMLUG00000007164,ENSMLUG00000002533,ENSMLUG00000016412,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000016718,ENSMLUG00000010167,ENSMLUG00000001028,ENSMLUG00000007782,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000011739
GO:0002706	regulation of lymphocyte mediated immunity	0.00039135362581601277	0.00039135362581601277	+1	ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000001974,ENSMLUG00000014375,ENSMLUG00000030037,ENSMLUG00000003969,ENSMLUG00000016537,ENSMLUG00000016598,ENSMLUG00000000153,ENSMLUG00000006778,ENSMLUG00000004581,ENSMLUG00000002533,ENSMLUG00000013014
GO:0045576	mast cell activation	0.00041441488113762764	0.00041441488113762764	+1	ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000012668,ENSMLUG00000000899,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000009455,ENSMLUG00000011728
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.0004440272244095389	0.0004440272244095389	+1	ENSMLUG00000016603,ENSMLUG00000009941,ENSMLUG00000014375,ENSMLUG00000003969,ENSMLUG00000024927,ENSMLUG00000016598,ENSMLUG00000007417,ENSMLUG00000006872,ENSMLUG00000007164,ENSMLUG00000005038,ENSMLUG00000005737,ENSMLUG00000017172,ENSMLUG00000010039,ENSMLUG00000012813
GO:0002224	toll-like receptor signaling pathway	0.00044776552655601063	0.00044776552655601063	+1	ENSMLUG00000012745,ENSMLUG00000007430,ENSMLUG00000030769,ENSMLUG00000007417,ENSMLUG00000007164,ENSMLUG00000014860,ENSMLUG00000002533,ENSMLUG00000015097,ENSMLUG00000017172,ENSMLUG00000012813,ENSMLUG00000011543,ENSMLUG00000008863,ENSMLUG00000004572,ENSMLUG00000011739,ENSMLUG00000016545,ENSMLUG00000017610
GO:0033003	regulation of mast cell activation	0.00045099553076140644	0.00045099553076140644	+1	ENSMLUG00000002828,ENSMLUG00000014580,ENSMLUG00000012668,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000009455,ENSMLUG00000011728
GO:0002768	immune response-regulating cell surface receptor signaling pathway	0.0004880098288942235	0.0004880098288942235	+1	ENSMLUG00000012387,ENSMLUG00000027823,ENSMLUG00000011581,ENSMLUG00000007430,ENSMLUG00000000147,ENSMLUG00000011482,ENSMLUG00000012968,ENSMLUG00000015999,ENSMLUG00000006872,ENSMLUG00000004581,ENSMLUG00000014860,ENSMLUG00000005407,ENSMLUG00000013543,ENSMLUG00000011728,ENSMLUG00000001028
