Field number,Dissection date,Season,Sex,Class,elevation,HABITAT description,Total Length,Hind Foot,Ear,FA length,mass,A1C_1,ketone,Na,K,Cl,TCO2,BUN,Glu,Hct,pH,PCO2,HCO3,Beecf,AnGap,Hb
DMR976,3/11/17,DRY,Female,FEMALE NONPREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",130,18,20,76.28,58,5.3,2.1,162,6.4,132,21,107,<20,63,7.157,50.6,17.9,-11,18,21.4
DMR957,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,19,20,72.18,58.54,4.8,1.3,154,7.4,133,18,57,89,51,7.216,41.5,16.8,-11,12,17.3
DMR910,3/5/17,DRY,Female,FEMALE NONPREGNANT ADULT,1030,mixed rural agricultural/grasslands area,125,16,22,74.65,59.1,4.9,1.8,162,>9,>140,17,90,26,59,7.04,55.5,15,-16,NA,20.1
DMR955,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,18,20,75.66,62.08,4.8,1,154,5.9,130,21,65,30,50,7.191,49.8,19.1,-9,10,17
DMR966,3/11/17,DRY,Female,FEMALE NONPREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",128,18,21,76.01,61.45,4.8,1.3,153,5.9,126,20,76,27,56,7.157,52,18.4,-10,14,19
DMR959,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",124,20,21,76.1,63.29,4.9,1.5,151,5.9,127,21,67,24,54,7.105,61.8,19.4,-10,10,18.4
DMR923,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",134,17,19,71.86,68.2,4.6,1.6,155,6.9,132,17,61,39,5.8,7.58,43.4,15.4,-13,14,19.7
DMR968,3/11/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",125,18,23,71.9,70.93,4.5,2.3,149,>9,124,18,59,26,53,7.103,51.9,16.2,-13,NA,18
DMR927,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",NA,NA,NA,72.21,69.52,5.8,1.2,147,>9,135,18,63,123,51,6.967,70.2,16.1,-16,NA,17.3
DMR926,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",136,20,19,72.68,71.71,5,1.6,159,>9,136,16,76,31,65,7.011,56.9,14.4,-17,NA,22.1
DMR942,3/9/17,DRY,Female,FEMALE PREGNANT ADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",128,18,22,73.04,75,4.9,1.5,151,5.8,115,18,41,38,56,7.078,56.1,16.5,-13,25,19
DMR954,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",136,16,17.5,73.16,72.55,5.4,1.4,142,8,122,21,51,29,58,7.062,68.1,19.4,-11,9,19.7
DMR956,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,20,18.5,74.17,68.3,4.7,1.6,148,8.1,126,21,66,25,60,7.038,71.7,19.3,-11,11,20.4
DMR965,3/11/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",140,20,21,77.29,76.96,5.3,1.4,141,8.2,119,20,61,50,56,7.086,61.2,18.4,-11,12,19
DMR962,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,19,21,77.89,83.36,5.1,1.2,151,8.4,125,23,64,55,56,7.085,73.6,20.8,-10,13,19
