geneID,length
ENSMLUT00000000002,3312
ENSMLUT00000000003,1143
ENSMLUT00000000004,1542
ENSMLUT00000000005,5424
ENSMLUT00000000006,2139
ENSMLUT00000000007,3435
ENSMLUT00000000008,1156
ENSMLUT00000000009,2199
ENSMLUT00000000012,1224
ENSMLUT00000000013,1635
ENSMLUT00000000014,771
ENSMLUT00000000015,1140
ENSMLUT00000000016,1431
ENSMLUT00000000017,1662
ENSMLUT00000000018,720
ENSMLUT00000000019,1938
ENSMLUT00000000020,2127
ENSMLUT00000000021,945
ENSMLUT00000000022,2166
ENSMLUT00000000023,960
ENSMLUT00000000025,2067
ENSMLUT00000000026,450
ENSMLUT00000000027,2121
ENSMLUT00000000028,711
ENSMLUT00000000029,6075
ENSMLUT00000000030,647
ENSMLUT00000000031,3525
ENSMLUT00000000032,570
ENSMLUT00000000033,1584
ENSMLUT00000000034,2007
ENSMLUT00000000035,2007
ENSMLUT00000000036,2004
ENSMLUT00000000037,1815
ENSMLUT00000000038,1113
ENSMLUT00000026184,1038
ENSMLUT00000028930,936
ENSMLUT00000000039,753
ENSMLUT00000000040,1110
ENSMLUT00000000041,2244
ENSMLUT00000000042,759
ENSMLUT00000000043,1215
ENSMLUT00000000044,306
ENSMLUT00000000045,1755
ENSMLUT00000000046,6399
ENSMLUT00000000047,696
ENSMLUT00000000048,1023
ENSMLUT00000000049,659
ENSMLUT00000000050,1119
ENSMLUT00000000051,1479
ENSMLUT00000000052,384
ENSMLUT00000000054,666
ENSMLUT00000000057,786
ENSMLUT00000000058,3417
ENSMLUT00000000059,2133
ENSMLUT00000000060,450
ENSMLUT00000000061,1665
ENSMLUT00000000062,1551
ENSMLUT00000000063,1515
ENSMLUT00000000064,1089
ENSMLUT00000000067,1269
ENSMLUT00000000068,345
ENSMLUT00000000070,1881
ENSMLUT00000000072,1383
ENSMLUT00000000073,1779
ENSMLUT00000000074,1368
ENSMLUT00000000076,2369
ENSMLUT00000000077,840
ENSMLUT00000000079,1389
ENSMLUT00000000080,676
